Dataset,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14,City of Tshwane,City,,,,,,,,,,,,,,,,102.38,,,,,,,,
14,City of Cape Town,City,,,,,,,,,,,,,,,,88.24,,,,,,,,
14,EThekwini Municipality,City,,,,,,,,,,,,,,,,60.1,,,,,,,,
14,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,100.71,,,,,,,,
14,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,50.05,,,,,,,,
14,Buffalo City Municipality,City,,,,,,,,,,,,,,,,53.99,,,,,,,,
14,Mangaung Municipality,City,,,,,,,,,,,,,,,,65.51,,,,,,,,
14,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
15,City of Johannesburg,City,,,,,,,,,,,,,,,,,130000,117725,,,,,,
15,City of Tshwane,City,,,,,,,,,,,,,,,,,89666,110000,,,,,,
15,City of Cape Town,City,,,,,,,,,,,,,,,,,251381,288703,,,,,,
15,EThekwini Municipality,City,,,,,,,,,,,,,,,,,687000,589605,,,,,,
15,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,34397,34327,,,,,,
15,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,86172,83660,,,,,,
15,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,54240,60610,,,,,,
15,Mangaung Municipality,City,,,,,,,,,,,,,,,,,32625,14365,,,,,,
15,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,28026,24292,,,,,,
16,City of Johannesburg,City,671913,,,,903465,928462,1032686,1146437,1106518,1068248,1037813,1039064,1130959,1242379,1073645,931523,1019800,1087963,,,,,,
16,City of Tshwane,City,463615,,,,597453,611223,674371,742798,716939,691700,670142,668096,722542,788278,678364,584391,634853,683097,,,,,,
16,City of Cape Town,City,603322,,,,795734,810424,889151,964087,905021,855282,826305,829294,895146,962067,825713,720546,766916,808491,,,,,,
16,EThekwini Municipality,City,987534,,,,1235053,1249714,1333021,1410404,1338309,1280296,1235800,1222494,1276192,1344408,1163723,1015938,1058501,1087981,,,,,,
16,Ekurhuleni Municipality,City,564453,,,,780739,807380,886474,968874,931608,894494,860877,848909,906340,977922,839816,725097,775033,802026,,,,,,
16,Nelson Mandela Bay Municipality,City,398224,,,,459519,458397,480903,502380,475717,448997,423532,409017,423514,442542,380889,331790,341440,349580,,,,,,
16,Buffalo City Municipality,City,326375,,,,373537,372381,388035,402419,380168,357889,335161,318995,323678,333625,284415,243123,247314,248630,,,,,,
16,Mangaung Municipality,City,246096,,,,287709,290236,306423,320503,298487,275302,256634,248015,262199,283050,240501,201387,207193,211303,,,,,,
16,Msunduzi Municipality,City,241334,,,,267417,266677,277166,287602,272212,259823,250669,248361,259774,273511,239304,209184,211789,210437,,,,,,
17,City of Johannesburg,City,0.61,0.62,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.67,0.66,0.66,0.65,0.65,0.65,0.66,0.65,,,,,,
17,City of Tshwane,City,0.57,0.59,0.61,0.62,0.62,0.63,0.64,0.65,0.65,0.65,0.65,0.64,0.63,0.63,0.62,0.62,0.63,0.63,,,,,,
17,City of Cape Town,City,0.55,0.58,0.59,0.6,0.6,0.61,0.61,0.62,0.62,0.62,0.62,0.61,0.6,0.6,0.6,0.6,0.61,0.61,,,,,,
17,EThekwini Municipality,City,0.58,0.6,0.61,0.63,0.63,0.64,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.62,0.62,0.62,0.63,0.63,,,,,,
17,Ekurhuleni Municipality,City,0.58,0.6,0.62,0.63,0.64,0.65,0.65,0.66,0.66,0.66,0.66,0.65,0.64,0.64,0.64,0.63,0.64,0.65,,,,,,
17,Nelson Mandela Bay Municipality,City,0.57,0.59,0.61,0.62,0.63,0.64,0.64,0.65,0.65,0.64,0.64,0.63,0.62,0.62,0.62,0.62,0.63,0.63,,,,,,
17,Buffalo City Municipality,City,0.58,0.6,0.62,0.64,0.65,0.66,0.67,0.67,0.67,0.67,0.67,0.66,0.65,0.64,0.64,0.63,0.64,0.64,,,,,,
17,Mangaung Municipality,City,0.58,0.6,0.62,0.63,0.64,0.65,0.66,0.66,0.66,0.66,0.65,0.64,0.63,0.62,0.62,0.62,0.62,0.62,,,,,,
17,Msunduzi Municipality,City,0.58,0.6,0.62,0.63,0.64,0.64,0.65,0.66,0.66,0.66,0.65,0.64,0.63,0.63,0.62,0.62,0.63,0.64,,,,,,
18,Western Cape,Province,,,,,,56.6,56.6,56.6,56.6,56.6,60.6,60.6,60.6,60.6,60.6,64.2,64.2,64.2,64.2,64.2,64.2,,,
18,Eastern Cape,Province,,,,,,47.4,47.4,47.4,47.4,47.4,49.8,49.8,49.8,49.8,49.8,53.7,53.7,53.7,53.7,53.7,53.7,,,
18,Northern Cape,Province,,,,,,49.7,49.7,49.7,49.7,49.7,52.2,52.2,52.2,52.2,52.2,54.9,54.9,54.9,54.9,54.9,54.9,,,
18,Free State,Province,,,,,,41.9,41.9,41.9,41.9,41.9,45.9,45.9,45.9,45.9,45.9,49.6,49.6,49.6,49.6,49.6,49.6,,,
18,KwaZulu-Natal,Province,,,,,,45.7,45.7,45.7,45.7,45.7,50,50,50,50,50,53.4,53.4,53.4,53.4,53.4,53.4,,,
18,North West,Province,,,,,,46,46,46,46,46,49.9,49.9,49.9,49.9,49.9,55.9,55.9,55.9,55.9,55.9,55.9,,,
18,Gauteng,Province,,,,,,53.7,53.7,53.7,53.7,53.7,57.7,57.7,57.7,57.7,57.7,61.7,61.7,61.7,61.7,61.7,61.7,,,
18,Mpumalanga,Province,,,,,,48.5,48.5,48.5,48.5,48.5,51.8,51.8,51.8,51.8,51.8,55.9,55.9,55.9,55.9,55.9,55.9,,,
18,Limpopo,Province,,,,,,51.2,51.2,51.2,51.2,51.2,55.4,55.4,55.4,55.4,55.4,59,59,59,59,59,59,,,
19,Western Cape,Province,,,,,,63.7,63.7,63.7,63.7,63.7,66.1,66.1,66.1,66.1,66.1,70.1,70.1,70.1,70.1,70.1,70.1,,,
19,Eastern Cape,Province,,,,,,51.6,51.6,51.6,51.6,51.6,55.5,55.5,55.5,55.5,55.5,59.3,59.3,59.3,59.3,59.3,59.3,,,
19,Northern Cape,Province,,,,,,55.9,55.9,55.9,55.9,55.9,57.9,57.9,57.9,57.9,57.9,60.1,60.1,60.1,60.1,60.1,60.1,,,
19,Free State,Province,,,,,,46,46,46,46,46,49.8,49.8,49.8,49.8,49.8,52.7,52.7,52.7,52.7,52.7,52.7,,,
19,KwaZulu-Natal,Province,,,,,,51,51,51,51,51,55.2,55.2,55.2,55.2,55.2,58.7,58.7,58.7,58.7,58.7,58.7,,,
19,North West,Province,,,,,,49.5,49.5,49.5,49.5,49.5,54.3,54.3,54.3,54.3,54.3,58.9,58.9,58.9,58.9,58.9,58.9,,,
19,Gauteng,Province,,,,,,58.1,58.1,58.1,58.1,58.1,60.8,60.8,60.8,60.8,60.8,63.3,63.3,63.3,63.3,63.3,63.3,,,
19,Mpumalanga,Province,,,,,,53,53,53,53,53,56.6,56.6,56.6,56.6,56.6,60.1,60.1,60.1,60.1,60.1,60.1,,,
19,Limpopo,Province,,,,,,59,59,59,59,59,60.8,60.8,60.8,60.8,60.8,63.8,63.8,63.8,63.8,63.8,63.8,,,
20,City of Johannesburg,City,85440152,98175468,108231970,121585889,136031757,147337838,171380917,187702641,206833849,230246026,254882751,291790638,328319856,352996924,391276225,428959023,467748736,515724688,,,,,,
20,City of Tshwane,City,47387561,54115705,59466236,65891499,76782609,83495238,94189424,103841587,115011185,131185453,145870659,167162017,186965721,204973586,229317372,254187462,274648744,300575344,,,,,,
20,City of Cape Town,City,59507879,67114809,71443982,80111609,89606035,99083257,111107720,123824945,140363481,152692174,169686701,192267243,213305978,227324867,256443655,277516107,295055690,319239490,,,,,,
20,EThekwini Municipality,City,59111584,65052919,69696493,75393303,86277994,97122698,110176672,121888658,134598265,147159615,163737825,185053127,207309155,223359561,247440410,267980964,290789995,316070030,,,,,,
20,Ekurhuleni Municipality,City,39017381,41583662,42607304,44148445,52865349,57283175,66517408,73288246,80970118,89364878,97554137,111181942,126339206,136152584,149783076,162026058,173331044,187474334,,,,,,
20,Nelson Mandela Bay Municipality,City,18638854,20384046,21841793,23730913,28253244,31866587,35577512,39624724,43292557,46717078,50724908,56196727,63769103,68293550,75314013,78334422,83560810,89096842,,,,,,
20,Buffalo City Municipality,City,10037588,11448249,12670356,14296905,15402944,16221536,17804397,20008994,22186486,24573339,27287266,31208162,35676831,38945898,43299556,45990764,49944545,53648515,,,,,,
20,Mangaung Municipality,City,9872552,11140266,11938951,13450544,14740807,16100514,18522123,20225430,22296243,24049647,26927857,30181309,32633655,35489078,39248202,40845531,43523373,46577745,,,,,,
20,Msunduzi Municipality,City,6962799,7641738,8271156,8911244,9443458,10389207,11849731,12996995,14474474,15696885,17275789,19383681,21239566,23239305,25850541,27855057,29766322,31866000,,,,,,
21,City of Johannesburg,City,35177684,36824669,44904559,47052204,60289566,76791249,82381824,83700446,87476982,110195512,141398612,172240837,270511235,202760807,242703805,296055680,304869654,350383800,,,,,,
21,City of Tshwane,City,33152022,34974379,36204063,37630050,43561304,43779611,59514448,54908167,63197034,56691444,81445287,95412672,125543428,118914020,140895568,179394707,176678163,186837844,,,,,,
21,City of Cape Town,City,7854658,7636173,9488485,10910457,14472411,17242448,25764472,25190782,22017581,26293801,32688130,40718897,45169428,41415358,44042480,47887131,55427458,65985346,,,,,,
21,EThekwini Municipality,City,13132128,13700039,16425596,16809639,21222324,26069432,32007716,30279659,27895263,24889289,32193568,39408829,51375754,37664586,40642258,47728957,52199344,60151044,,,,,,
21,Ekurhuleni Municipality,City,9697632,9802105,8920870,12268814,15996185,18208033,17813327,12700792,17455183,21146092,28775402,37686636,43459419,35810508,43652202,51048370,58340869,65031654,,,,,,
21,Nelson Mandela Bay Municipality,City,3298013,3372992,4763059,8409708,10695519,11925564,14004098,15559655,16692730,18150678,26139660,31511379,36815760,21537848,29532150,34589775,29654164,33363346,,,,,,
21,Buffalo City Municipality,City,537964,709675,1266216,2510225,2834524,6731348,7070206,6472735,8484471,7092888,5289884,2367266,9753164,8705569,901043,1082428,1174448,1430696,,,,,,
21,Mangaung Municipality,City,121297,166141,160023,117534,93553,140994,2168607,671733,1283310,1543803,1477489,1695503,2148879,546651,971610,1009034,1433161,1795601,,,,,,
21,Msunduzi Municipality,City,959499,902648,1179175,1103835,2188188,3060282,4538652,4574809,4520792,5357075,6150571,7180823,7667829,5120646,6242433,7250810,7529866,8378805,,,,,,
22,City of Johannesburg,City,43133345,49654345,56754990,54233486,65227687,74160213,90233260,81972614,96985403,112322716,149809853,178422989,242573727,202195568,232469121,277812870,313743083,349049408,,,,,,
22,City of Tshwane,City,8180624,8105964,11029661,10809354,15751233,20398648,27560293,25880776,33480020,36306197,44741717,51591843,55182115,41735289,58057654,65764607,76098237,86203976,,,,,,
22,City of Cape Town,City,12091962,13281703,14429514,16164789,24219250,27210920,36555811,32841545,39566139,50623209,74770793,86654468,118629505,95374287,82785717,110624547,146176463,178656616,,,,,,
22,EThekwini Municipality,City,12868433,13680062,14844064,12003405,13293878,16231419,23329580,25248152,34701394,40371388,48633147,59822480,68114872,52680402,73732523,92767197,108712737,127398297,,,,,,
22,Ekurhuleni Municipality,City,18694107,21169340,25696115,23828954,28403026,35559598,44690398,42607362,44870332,52878024,69283617,87936453,108516208,75021763,81581289,102326878,108270397,125489903,,,,,,
22,Nelson Mandela Bay Municipality,City,5827051,5952361,7701985,9983876,11543317,11525111,15357762,13792692,15703465,19046997,24629513,27428759,30376942,21452913,28630596,33020794,35667878,43848359,,,,,,
22,Buffalo City Municipality,City,2874268,2290153,2268989,2508136,3422355,6458514,8239349,8208817,7998226,7528440,7829944,8377695,13201390,9088119,2336338,2951401,2826393,3511999,,,,,,
22,Mangaung Municipality,City,301072,337960,379994,349066,427868,609622,661771,504128,587154,635906,688097,764482,821282,736664,2942167,501022,826901,1066486,,,,,,
22,Msunduzi Municipality,City,907833,1115768,1317342,1117243,1245296,1741241,2002334,1726961,2045143,2081068,2989525,3638040,4627419,3790720,5023037,6624781,6764208,7636427,,,,,,
23,City of Johannesburg,City,,,,,,89728,,,,,,,,,,183247,,,,,,,,
23,City of Tshwane,City,,,,,,94908,,,,,,,,,,182822,,,,,,,,
23,City of Cape Town,City,,,,,,56220,,,,,,,,,,112830,,,,,,,,
23,EThekwini Municipality,City,,,,,,53904,,,,,,,,,,105602,,,,,,,,
23,Ekurhuleni Municipality,City,,,,,,67605,,,,,,,,,,125688,,,,,,,,
23,Nelson Mandela Bay Municipality,City,,,,,,53904,,,,,,,,,,105602,,,,,,,,
23,Buffalo City Municipality,City,,,,,,39917,,,,,,,,,,97554,,,,,,,,
23,Mangaung Municipality,City,,,,,,43125,,,,,,,,,,105232,,,,,,,,
23,Msunduzi Municipality,City,,,,,,50178,,,,,,,,,,108926,,,,,,,,
24,City of Johannesburg,City,,,,,,,,,,,,,80.4,86,89.3,93.2,98.1,103.7,107.8,,,,,
24,City of Tshwane,City,,,,,,,,,,,,,78.9,84.7,88.8,92.8,98,104.2,110,,,,,
24,City of Cape Town,City,,,,,,,,,,,,,79.2,84.7,88.7,92.9,97.8,103.1,109.4,,,,,
24,EThekwini Municipality,City,,,,,,,,,,,,,80.1,85.8,88.5,92.4,97.7,103.4,109.6,,,,,
24,Ekurhuleni Municipality,City,,,,,,,,,,,,,78.2,83.2,87.2,92.2,97.7,102.9,109.3,,,,,
24,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,78.6,84.1,87.9,92.5,97.7,102.9,109.3,,,,,
24,Buffalo City Municipality,City,,,,,,,,,,,,,78.8,84.3,87.9,92,97.7,103.8,110.2,,,,,
24,Mangaung Municipality,City,,,,,,,,,,,,,77.6,83.1,86.9,92.3,97.9,103.7,110.1,,,,,
24,Msunduzi Municipality,City,,,,,,,,,,,,,78.6,84.1,87.4,92.2,97.7,103.7,110.1,,,,,
25,City of Johannesburg,City,790061,,,,,1180320,,,,,,,,,,2216490,,,,,,,,
25,City of Tshwane,City,459964,,,,,688638,,,,,,,,,,1424593,,,,,,,,
25,City of Cape Town,City,248122,,,,,433710,,,,,,,,,,1700228,,,,,,,,
25,EThekwini Municipality,City,584521,,,,,909565,,,,,,,,,,1442593,,,,,,,,
25,Ekurhuleni Municipality,City,596187,,,,,882320,,,,,,,,,,1582452,,,,,,,,
25,Nelson Mandela Bay Municipality,City,174044,,,,,272889,,,,,,,,,,457384,,,,,,,,
25,Buffalo City Municipality,City,184705,,,,,279956,,,,,,,,,,285223,,,,,,,,
25,Mangaung Municipality,City,161082,,,,,229018,,,,,,,,,,292971,,,,,,,,
25,Msunduzi Municipality,City,119603,,,,,169845,,,,,,,,,,173386,,,,,,,,
26,City of Johannesburg,City,0.0138,,,,,0.0137,,,,,,,,,,0.0142,,,,,,,,
26,City of Tshwane,City,0.0146,,,,,0.0148,,,,,,,,,,0.0148,,,,,,,,
26,City of Cape Town,City,0.0151,,,,,0.015,,,,,,,,,,0.0153,,,,,,,,
26,EThekwini Municipality,City,0.0156,,,,,0.0154,,,,,,,,,,0.0169,,,,,,,,
26,Ekurhuleni Municipality,City,0.0141,,,,,0.014,,,,,,,,,,0.0144,,,,,,,,
26,Nelson Mandela Bay Municipality,City,0.0167,,,,,0.0164,,,,,,,,,,0.0173,,,,,,,,
26,Buffalo City Municipality,City,0.0167,,,,,0.0161,,,,,,,,,,0.0179,,,,,,,,
26,Mangaung Municipality,City,0.016,,,,,0.0165,,,,,,,,,,0.0173,,,,,,,,
26,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
27,City of Johannesburg,City,926590,,,,,1082758,,,,,,,,,,1696520,,,,,,,,
27,City of Tshwane,City,607281,,,,,707626,,,,,,,,,,1079273,,,,,,,,
27,City of Cape Town,City,784139,,,,,781553,,,,,,,,,,963552,,,,,,,,
27,EThekwini Municipality,City,240581,,,,,226200,,,,,,,,,,283260,,,,,,,,
27,Ekurhuleni Municipality,City,660930,,,,,760864,,,,,,,,,,1126844,,,,,,,,
27,Nelson Mandela Bay Municipality,City,240581,,,,,226200,,,,,,,,,,283260,,,,,,,,
27,Buffalo City Municipality,City,157515,,,,,158157,,,,,,,,,,95735,,,,,,,,
27,Mangaung Municipality,City,164863,,,,,156591,,,,,,,,,,207967,,,,,,,,
27,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
28,City of Johannesburg,City,0.294,,,,,0.374,,,,,,,,,,0.25,,,,,,,,
28,City of Tshwane,City,0.243,,,,,0.316,,,,,,,,,,0.242,,,,,,,,
28,City of Cape Town,City,0.324,,,,,0.43,,,,,,,,,,0.302,,,,,,,,
28,EThekwini Municipality,City,0.363,,,,,0.464,,,,,,,,,,0.366,,,,,,,,
28,Ekurhuleni Municipality,City,,,,,,0.404,,,,,,,,,,0.288,,,,,,,,
28,Nelson Mandela Bay Municipality,City,0.363,,,,,0.464,,,,,,,,,,0.366,,,,,,,,
28,Buffalo City Municipality,City,0.39,,,,,0.532,,,,,,,,,,0.348,,,,,,,,
