Index,Dataset,Indicator,Theme
86,Matric pass (rate),56,4
87,Hospital beds - provincial (public sector),57,4
88,Mortality - under 5 years per 1 000 births,58,4
89,Multiple deprivation index,59,4
90,Dwelling type - formal,60,4
91,Dwelling type - informal,60,4
92,Dwelling type - traditional,60,4
93,Dwelling tenure - owned + paid,61,4
94,Dwelling tenure - owned + not paid,61,4
95,Dwelling tenure - rented,61,4
96,Dwelling tenure - occupied + no rent,61,4
97,Informal shelter growth,62,4
98,Housing Affordability Ratio,63,4
99,Housing Affordability Index,64,4
100,Transport passengers - Train,65,4
101,Transport passengers - Bus,65,4
102,Transport passengers - Taxi,65,4
103,Transport passengers - Car / Truck driver,65,4
104,Transport passengers - Car / Truck passenger,65,4
105,Transport passengers - Walk only,65,4
106,Transport passengers - Other,65,4
107,Motor vehicle ownership,66,4
108,Inpatient bed utilisation (rate),67,4
109,Educational level - no schooling,68,4
110,Educational level - some primary,68,4
111,Educational level - completed primary,68,4
112,Educational level - some secondary,68,4
113,Educational level - grade 12 / std 9,68,4
114,Educational level - higher education,68,4
115,Educational level - other,68,4
116,Educational level - total,68,4
117,Municipal management vacancies,69,5
118,Municipal posts - Community and Social Services,70,5
119,Municipal posts - Finance and Administration,70,5
120,Municipal posts - Electricity,70,5
121,Municipal posts - Environmental Protection,70,5
122,Municipal posts - Health,70,5
123,Municipal posts - Public Safety,70,5
124,Municipal posts - Road Transport,70,5
125,Municipal posts - Sport and Recreation,70,5
126,Municipal posts - Waste Management,70,5
127,Municipal posts - Waste Water Management,70,5
128,Municipal posts - Water,70,5
129,Municipal posts - Other,70,5
130,Municipal staff vacancies,71,5
131,Voter turnout - Local (2011),72,5
132,Voter Turnout - National (2014),73,5
133,Access to water - Piped in dwelling,74,5
134,Access to water - Piped in yard,74,5
135,Access to water - Communal within 200m,74,5
136,Access to water - Communal more than 200m,74,5
137,Access to water - No piped,74,5
138,Access to sanitation - Flush toilet,75,5
139,Access to sanitation - VIPs,75,5
140,Access to sanitation - Pit toilet,75,5
141,Access to sanitation - Bucket System,75,5
142,Access to sanitation - No toilet,75,5
143,Access to electricity - Lighting only,76,5
144,Access to electricity - Lighting and other,76,5
145,Access to electricity - Not using,76,5
146,Access to refuse removal - Weekly by authority,77,5
147,Access to refuse removal - Less than weekly by authority,77,5
148,Access to refuse removal - Community removal,77,5
149,Access to refuse removal - Personally removed,77,5
150,Access to refuse removal - No removal,77,5
151,Clinics - provincial,78,5
152,External audit,79,5
153,Informal settlements,80,5
154,Residential (rate)s,81,5
155,Business (rate)s,82,5
156,Services levy,83,5
157,Grants,84,5
158,Capital grants & transfers,85,5
159,Operating surplus,86,5
160,Debtors,87,5
161,Bad Debt,88,5
162,Remuneration costs,89,5
163,Liabilities,90,5
164,Cash position,91,5
165,Acid test ratio,92,5
166,Debt to income ratio,93,5
167,Current ratio,94,5
168,Debt ratio,95,5
169,Budget funding,96,5
170,Wasteful expenditure,97,5
171,Operating expenditure - Employee related,98,5
172,Operating expenditure - Remuneration of councillors,98,5
173,Operating expenditure - Bad debt,98,5
174,Operating expenditure - Repairs and maintenance,98,5
175,Operating expenditure - Bulk purchase,98,5
176,Operating expenditure - Other operating,98,5
177,Operating expenditure - Total,98,5
178,Operating expenditure - Ave annual growth,98,5
179,Operating expenditure - Repairs and maintenance growth,98,5
180,Affordability of municipal bills - Municipal Bill,99,5
181,Affordability of municipal bills - Benchmark income,99,5
182,Affordability of municipal bills - Municipal bill as percent of income,99,5
183,Affordability of municipal bills - change since 2010,99,5
184,Voter turnout- local,100,5
185,Voter registration - local,101,5
186,All theft not mentioned elsewhere,102,6
187,All theft not mentioned elsewhere (rate),103,6
188,Arson,104,6
189,Arson (rate),105,6
190,Assault with the intent to inflict grievous bodily harm,106,6
191,Assault with the intent to inflict grievous bodily harm (rate),107,6
192,Attempted murder,108,6
193,Attempted murder (rate),109,6
194,Attempted sexual offences,110,6
195,Attempted sexual offences (rate),111,6
196,Bank Robbery,112,6
197,Bank Robbery (rate),113,6
198,Burglary at non-residential premises,114,6
199,Burglary at non-residential premises (rate),115,6
200,Burglary at residential premises,116,6
201,Burglary at residential premises (rate),117,6
202,Carjacking,118,6
203,Carjacking (rate),119,6
204,Commercial crime,120,6
205,Commercial crime (rate),121,6
206,Common assault,122,6
207,Common assault (rate),123,6
208,Common robbery,124,6
209,Common robbery (rate),125,6
210,Community Reported Serious Crimes,126,6
211,Community Reported Serious Crimes (rate),127,6
212,Contact Crime,128,6
213,Contact Crime (rate),129,6
214,Contact Related Crime,130,6
215,Contact Related Crime (rate),131,6
216,Contact sexual offences,132,6
217,Contact sexual offences (rate),133,6
218,Crimes detected as a result of police action,134,6
219,Crimes detected as a result of police action (rate),135,6
220,Driving under the influence of alcohol or drugs,136,6
221,Driving under the influence of alcohol or drugs (rate),137,6
222,Drug-related crime,138,6
223,Drug-related crime (rate),139,6
224,Illegal possession of firearms and ammunition,140,6
225,Illegal possession of firearms and ammunition (rate),141,6
226,Malicious damage to property,142,6
227,Malicious damage to property (rate),143,6
228,Murder,144,6
229,Murder (rate),145,6
230,Other Serious Crime,146,6
231,Other Serious Crime (rate),147,6
232,Property Related Crime,148,6
233,Rape,149,6
234,Rape (rate),150,6
235,Robbery at non-residential premises,151,6
236,Robbery at non-residential premises (rate),152,6
237,Robbery at residential premises,153,6
238,Robbery at residential premises (rate),154,6
239,Robbery of cash in transit,155,6
240,Robbery of cash in transit (rate),156,6
241,Robbery with aggravating circumstances,157,6
242,Robbery with aggravating circumstances (rate),158,6
243,Sexual Assault,159,6
244,Sexual Assault (rate),160,6
245,Sexual Offences,161,6
246,Sexual Offences detected as a result of Police Action,162,6
247,Sexual Offences detected as a result of Police Action (rate),163,6
248,Sexual Offences (rate),164,6
249,Shoplifting,165,6
250,Shoplifting (rate),166,6
251,Stock-theft,167,6
252,Stock-theft (rate),168,6
253,Theft of motor vehicle and motorcycle,169,6
254,Theft of motor vehicle and motorcycle (rate),170,6
255,Theft out of or from motor vehicle,171,6
256,Theft out of or from motor vehicle (rate),172,6
257,TRIO Crimes,173,6
258,TRIO Crimes (rate),174,6
259,Truck hijacking,175,6
260,Truck hijacking (rate),176,6
261,Equitable share per DORA (nominal),177,7
262,Equitable share per AFS (nominal),178,7
263,Equitable share DORA (constant),179,7
264,Equitable share AFS (constant),180,7
265,Capital and conditional grants,181,7
266,Employee related costs,182,7
267,Remuneration of councillors,183,7
268,Bad debts,184,7
269,Repairs and maintenance,185,7
270,Bulk purchases,186,7
271,Other expenditure,187,7
272,City employee related costs,188,7
273,Electricity capital expenditure,189,7
274,Water capital expenditure,190,7
